id,title_romaji,title_english,title_native,episodes,score,popularity,genres,status,studio,season,start_year,url
3786,Shin Evangelion Movie:||,Evangelion: 3.0+1.0 Thrice Upon a Time,シン・エヴァンゲリオン劇場版:||,1.0,85.0,103405,"Action, Drama, Mecha, Psychological, Sci-Fi",FINISHED,Studio Khara,WINTER,2021.0,https://anilist.co/anime/3786
126213,"Shin no Nakama ja Nai to Yuusha no Party wo Oidasareta node, Henkyou de Slow Life suru Koto ni shimashita","Banished from the Hero’s Party, I Decided to Live a Quiet Life in the Countryside",真の仲間じゃないと勇者のパーティーを追い出されたので、辺境でスローライフすることにしました,13.0,68.0,103383,"Action, Adventure, Fantasy, Romance, Slice of Life",FINISHED,WolfsBane,FALL,2021.0,https://anilist.co/anime/126213
112300,Mahouka Koukou no Rettousei: Raihousha-hen,The Irregular at Magic High School: Visitor Arc,魔法科高校の劣等生 来訪者編,13.0,71.0,102689,"Action, Romance, Sci-Fi, Supernatural",FINISHED,8-bit,FALL,2020.0,https://anilist.co/anime/112300
20652,Durarara!!x2 Shou,Durarara!! X2,デュラララ!!×２ 承,12.0,78.0,102600,"Action, Mystery, Supernatural",FINISHED,Shuka,WINTER,2015.0,https://anilist.co/anime/20652
20849,GOD EATER,God Eater,GOD EATER,13.0,67.0,102359,"Action, Sci-Fi",FINISHED,ufotable,SUMMER,2015.0,https://anilist.co/anime/20849
21860,Shuumatsu Nani Shitemasu ka? Isogashii desu ka? Sukutte Moratte Ii desu ka?,WorldEnd: What are you doing at the end of the world? Are you busy? Will you save us?,終末なにしてますか? 忙しいですか? 救ってもらっていいですか?,12.0,75.0,102169,"Drama, Fantasy, Mystery, Romance, Slice of Life, Supernatural",FINISHED,Satelight,SPRING,2017.0,https://anilist.co/anime/21860
101432,"Violet Evergarden: Kitto ""Ai"" wo Shiru Hi ga Kuru no Darou",Violet Evergarden: Special,"ヴァイオレット・エヴァーガーデン きっと""愛""を知る日が来るのだろう",1.0,82.0,102047,"Drama, Fantasy, Romance, Slice of Life",FINISHED,Kyoto Animation,SUMMER,2018.0,https://anilist.co/anime/101432
5630,Higashi no Eden,Eden of the East,東のエデン,11.0,74.0,101811,"Drama, Mystery, Psychological, Romance, Sci-Fi, Thriller",FINISHED,Production I.G,SPRING,2009.0,https://anilist.co/anime/5630
2593,Kara no Kyoukai: Fukan Fuukei,the Garden of sinners Chapter 1: Thanatos. (Overlooking View),空の境界 俯瞰風景,1.0,73.0,101730,"Action, Mystery, Supernatural, Thriller",FINISHED,ufotable,FALL,2007.0,https://anilist.co/anime/2593
7592,Nurarihyon no Mago,Nura: Rise of the Yokai Clan,ぬらりひょんの孫,24.0,73.0,46400,"Action, Supernatural",FINISHED,Studio DEEN,SUMMER,2010.0,https://anilist.co/anime/7592
7193,Aoi Bungaku Series,Blue Literature Series,青い文学シリーズ,12.0,73.0,46371,"Drama, Psychological, Thriller",FINISHED,MADHOUSE,FALL,2009.0,https://anilist.co/anime/7193
101045,Hanebado!,HANEBADO!,はねバド!,13.0,66.0,46314,"Drama, Slice of Life, Sports",FINISHED,LIDENFILMS,SUMMER,2018.0,https://anilist.co/anime/101045
153554,"Danjo no Yuujou wa Seiritsu suru? (Iya, Shinai!!)",Can a Boy-Girl Friendship Survive?,男女の友情は成立する？（いや、 しないっ!!）,12.0,65.0,46299,"Comedy, Romance",FINISHED,J.C.STAFF,SPRING,2025.0,https://anilist.co/anime/153554
4565,Tengen Toppa Gurren Lagann: Lagann-hen,Gurren Lagann The Movie: The Lights in the Sky are Stars,天元突破グレンラガン 螺巌篇,1.0,85.0,46276,"Action, Drama, Mecha, Romance, Sci-Fi",FINISHED,Gainax,SPRING,2009.0,https://anilist.co/anime/4565
136149,Alice to Therese no Maboroshi Koujou,maboroshi,アリスとテレスのまぼろし工場,1.0,71.0,46266,"Drama, Fantasy, Romance, Supernatural",FINISHED,MAPPA,SUMMER,2023.0,https://anilist.co/anime/136149
21567,Mayoiga,The Lost Village,迷家-マヨイガ-,12.0,50.0,46240,"Comedy, Drama, Horror, Mystery, Supernatural",FINISHED,diomedéa,SPRING,2016.0,https://anilist.co/anime/21567
4437,NARUTO: Shippuuden - Kizuna,Naruto Shippuden the Movie: Bonds,劇場版 NARUTO -ナルト- 疾風伝 絆,1.0,69.0,46218,"Action, Supernatural",FINISHED,Studio Pierrot,SUMMER,2008.0,https://anilist.co/anime/4437
98658,Shoujo☆Kageki Revue Starlight,Revue Starlight,少女☆歌劇 レヴュー・スタァライト,12.0,77.0,46190,"Action, Drama, Music, Psychological",FINISHED,Kinema Citrus,SUMMER,2018.0,https://anilist.co/anime/98658
