id,title_romaji,title_english,title_native,format,episodes,duration,source,country,isAdult,score,meanScore,popularity,favourites,trending,genres,tags,status,studio,season,start_year,url
12355,Ookami Kodomo no Ame to Yuki,Wolf Children,おおかみこどもの雨と雪,MOVIE,1.0,117.0,ORIGINAL,JP,False,83.0,83.0,176682,5764,1,"Drama, Fantasy, Romance, Slice of Life","Parenthood, Family Life, Werewolf, Coming of Age, Shapeshifting, Female Protagonist, Rural, Environmental, Kemonomimi, Animals, Snowscape, Mythology, Tragedy, School, Urban, Agriculture, Heterosexual, Male Protagonist, Urban Fantasy",FINISHED,MADHOUSE,SPRING,2012,https://anilist.co/anime/12355
98291,Tsurezure Children,Tsuredure Children,徒然チルドレン,TV_SHORT,12.0,13.0,MANGA,JP,False,74.0,74.0,176633,2621,1,"Comedy, Drama, Romance, Slice of Life","Ensemble Cast, Heterosexual, School, Episodic, Primarily Teen Cast, Coming of Age, Shounen, Tsundere, Kuudere, Achronological Order, School Club, Love Triangle",FINISHED,Studio Gokumi,SUMMER,2017,https://anilist.co/anime/98291
578,Hotaru no Haka,Grave of the Fireflies,火垂るの墓,MOVIE,1.0,88.0,OTHER,JP,False,83.0,83.0,175976,5441,3,Drama,"Tragedy, Survival, Orphan, War, Family Life, Historical, Primarily Child Cast, Homeless, Rural, Military, Female Protagonist, Male Protagonist, Autobiographical, Educational",FINISHED,Studio Ghibli,SPRING,1988,https://anilist.co/anime/578
877,NANA,NANA,NANA-ナナ-,TV,47.0,23.0,MANGA,JP,False,85.0,85.0,175596,12261,5,"Drama, Music, Romance, Slice of Life","Female Protagonist, Shoujo, Band, Primarily Adult Cast, Coming of Age, Tragedy, Rock Music, Love Triangle, Ensemble Cast, Pregnancy, Netorare, Heterosexual, Fashion, Kuudere, College, Nudity, Age Gap, Mahjong, Crossdressing, Office Lady",FINISHED,MADHOUSE,SPRING,2006,https://anilist.co/anime/877
11843,Danshi Koukousei no Nichijou,Daily Lives of High School Boys,男子高校生の日常,TV,12.0,24.0,MANGA,JP,False,80.0,80.0,175353,5441,1,"Comedy, Slice of Life","School, Episodic, Slapstick, Primarily Male Cast, Satire, Meta, Shounen, Cute Boys Doing Cute Things, Male Protagonist, Ensemble Cast, Primarily Teen Cast, Urban, Tomboy, Crossdressing, Tanned Skin, Femboy",FINISHED,Sunrise,WINTER,2012,https://anilist.co/anime/11843
153518,Dungeon Meshi,Delicious in Dungeon,ダンジョン飯,TV,24.0,25.0,MANGA,JP,False,85.0,85.0,175311,11056,11,"Adventure, Comedy, Fantasy","Dungeon, Food, Magic, Medieval, Elf, Primarily Adult Cast, Ensemble Cast, Environmental, Monster Girl, Dragons, Lost Civilization, Necromancy, Body Horror, Male Protagonist, Female Protagonist, Chimera, Seinen, Tragedy, Nekomimi, Anthropomorphism, Kemonomimi, Found Family, Episodic, Politics, Nudity, Super Power, Asexual, Shapeshifting, Curses, Ghost, Ninja, Cannibalism, Zombie",FINISHED,TRIGGER,WINTER,2024,https://anilist.co/anime/153518
21403,Sword Art Online: Ordinal Scale,Sword Art Online the Movie: Ordinal Scale,ソードアート・オンライン -オーディナル・スケール-,MOVIE,1.0,119.0,ORIGINAL,JP,False,73.0,73.0,175095,2748,1,"Action, Adventure, Fantasy, Romance, Sci-Fi","Artificial Intelligence, Heterosexual, Augmented Reality, Video Games, Swordplay, Virtual World, Urban, Memory Manipulation, Primarily Teen Cast, Female Protagonist, Male Protagonist, Primarily Female Cast, Tanned Skin, Tragedy, Nudity",FINISHED,A-1 Pictures,WINTER,2017,https://anilist.co/anime/21403
112124,Dungeon ni Deai wo Motomeru no wa Machigatteiru Darou ka III,Is It Wrong to Try to Pick Up Girls in a Dungeon? III,ダンジョンに出会いを求めるのは間違っているだろうかⅢ,TV,12.0,24.0,LIGHT_NOVEL,JP,False,74.0,74.0,174885,2820,2,"Action, Adventure, Comedy, Fantasy, Romance","Gods, Male Protagonist, Dungeon, Monster Girl, Magic, Mythology, Swordplay, Ensemble Cast, Primarily Female Cast, Female Harem, Tragedy, Kemonomimi, Nudity, Nekomimi, Tomboy, Tanned Skin, Kuudere, Elf, Archery, Gore, Primarily Teen Cast, Medieval, Yandere",FINISHED,J.C.STAFF,FALL,2020,https://anilist.co/anime/112124
20631,Trinity Seven,TRINITY SEVEN,トリニティセブン,TV,12.0,24.0,MANGA,JP,False,67.0,67.0,174575,2456,1,"Action, Comedy, Ecchi, Fantasy, Romance","Magic, Female Harem, Male Protagonist, Henshin, Primarily Female Cast, Alternate Universe, Nudity, Memory Manipulation, Time Manipulation, School, Tsundere, Shounen, Kuudere, Parody",FINISHED,Seven Arcs,FALL,2014,https://anilist.co/anime/20631
2251,Baccano!,Baccano!,バッカーノ！,TV,13.0,25.0,LIGHT_NOVEL,JP,False,81.0,81.0,174497,5957,0,"Action, Mystery, Supernatural","Mafia, Ensemble Cast, Crime, Achronological Order, Alchemy, Historical, Trains, Urban Fantasy, Foreign, Noir, Primarily Adult Cast, Guns, Urban, Gore, Travel, Heterosexual, Torture, Anti-Hero, Vore, Demons, Surreal Comedy, Meta, Disability",FINISHED,Brain's Base,SUMMER,2007,https://anilist.co/anime/2251
